map,rows,cols,nodes,pct_nodes,d_start_goal,pct_start_goal,h_start_goal,pct_start_goal.1,explored_0,explored_1,explored_2,explored_3,explored_4,explored_5,pct_explored_1,pct_explored_2,pct_explored_3,pct_explored_4,pct_explored_5,elapsed_0,elapsed_1,elapsed_2,elapsed_3,elapsed_4,elapsed_5,pct_elapsed_1,pct_elapsed_2,pct_elapsed_3,pct_elapsed_4,pct_elapsed_5,changed_0,changed_1,changed_2,changed_3,changed_4,changed_5,obstacle_density,normalized_manhattan,heuristic_quality
16room_001,512,512,231350,0.88,397,30,304,0.77,15526,15526,15526,15526,15526,15526,0,0,0,0,0,15.2582581,15.34622383,14.74259162,15.36222768,14.10093498,14.37076688,-1,3,-1,8,6,,600,15078,9235,6300,4754,12.0,30.0,77.0
16room_001,512,512,231350,0.88,402,31,321,0.8,35209,32820,26436,26436,26436,26436,7,25,25,25,25,27.27644134,25.3804512,19.94056296,19.52580142,19.1890285,19.89065313,7,27,28,30,27,,1139,31788,21415,14659,11234,12.0,31.0,80.0
16room_001,512,512,231350,0.88,242,23,239,0.99,1861,1856,1773,1842,1842,1842,0,5,1,1,1,0.796521664,0.71658659,0.738580942,0.698579311,0.745604277,0.706611633,10,7,12,6,11,,25,129,94,78,66,12.0,23.0,99.0
16room_001,512,512,231350,0.88,671,61,624,0.93,117206,114663,54479,54494,54525,54525,2,54,54,53,53,312.9101195,305.4903066,176.5710442,176.1423061,176.8998778,178.8388035,2,44,44,43,43,,1161,54820,34552,23399,17793,12.0,61.0,93.0
16room_001,512,512,231350,0.88,657,51,522,0.79,136072,119078,66045,65945,66180,65721,12,51,52,51,52,121.0038667,109.5733337,72.13676405,72.42359304,73.57295513,72.0468297,9,40,40,39,40,,1132,50083,45602,33609,26830,12.0,51.0,79.0
32room_002,512,512,246420,0.94,406,35,361,0.89,48310,48267,29224,29224,29224,29224,0,40,40,40,40,76.83207393,74.96415949,48.44232059,49.70058537,49.28981972,50.71300888,2,37,35,36,34,,561,28491,25997,17435,13128,6.0,35.0,89.0
32room_002,512,512,246420,0.94,473,39,400,0.85,34681,34159,20266,20952,22009,22993,2,42,40,37,34,28.05893517,28.16689944,19.92762017,20.03552628,20.00256085,20.44631267,0,29,29,29,27,,703,20403,15016,11065,8723,6.0,39.0,85.0
32room_002,512,512,246420,0.94,382,33,337,0.88,26909,26679,21280,22812,22812,22812,1,21,15,15,15,23.67346215,23.8024075,22.15031886,23.14676356,22.52316236,22.62408042,-1,6,2,5,4,,696,17524,9987,7000,5689,6.0,33.0,88.0
32room_002,512,512,246420,0.94,252,25,251,1.0,975,956,1004,986,987,988,2,-3,-1,-1,-1,0.34876132,0.351799965,0.359773159,0.356810331,0.536688089,0.357807636,-1,-3,-2,-54,-3,,61,453,309,217,153,6.0,25.0,100.0
32room_002,512,512,246420,0.94,474,41,415,0.88,31060,28298,28129,28171,28171,28171,9,9,9,9,9,24.37913179,23.81138706,24.50795698,24.57294798,24.17915845,24.132236,2,-1,-1,1,1,,892,23854,15777,11080,8542,6.0,41.0,88.0
64room_003,512,512,242206,0.92,693,59,602,0.87,97123,96358,70398,70398,70398,70398,1,28,28,28,28,202.5082376,201.1660149,158.0786114,156.6284587,164.0802164,166.9525583,1,22,23,19,18,,851,66168,43322,28865,21642,8.0,59.0,87.0
64room_003,512,512,242206,0.92,622,37,379,0.61,117449,92021,43712,43712,43712,43712,22,63,63,63,63,93.10476708,73.73186493,28.43673348,27.94902086,28.00199223,28.17289352,21,69,70,70,70,,1023,43936,27041,18983,14776,8.0,37.0,61.0
64room_003,512,512,242206,0.92,287,27,274,0.95,34894,34539,23177,23473,23473,23473,1,34,33,33,33,33.22499847,33.18704677,21.73258948,22.15632868,23.67444396,22.4781673,0,35,33,29,32,,804,19289,15973,12515,10721,8.0,27.0,95.0
64room_003,512,512,242206,0.92,169,14,138,0.82,20067,19361,12982,13153,13153,13153,4,35,34,34,34,7.814534426,7.291848183,4.831207037,5.37689662,4.978163242,4.927170277,7,38,31,36,37,,259,8148,6402,5467,4346,8.0,14.0,82.0
64room_003,512,512,242206,0.92,482,44,445,0.92,51522,65809,42822,42989,42989,42989,-28,17,17,17,17,64.48407602,78.24924827,59.5549345,59.10020161,60.35249782,60.9641428,-21,8,8,6,5,,2135,51514,31576,21365,16508,8.0,44.0,92.0
64room_009,512,512,254117,0.97,506,26,261,0.52,28713,28713,28713,28713,28713,28713,0,0,0,0,0,29.47913003,29.58108807,28.8534894,29.30722976,29.26525259,29.04137635,0,2,1,1,1,,742,28187,15662,10431,7825,3.0,26.0,52.0
64room_009,512,512,254117,0.97,372,23,231,0.62,38365,38415,31627,31627,31627,31627,0,18,18,18,18,24.53294373,24.2761023,22.01839137,21.99642277,21.842484,22.01641321,1,10,10,11,10,,765,29357,18775,13316,10207,3.0,23.0,62.0
64room_009,512,512,254117,0.97,39,4,38,0.97,281,322,281,291,291,291,-15,0,-4,-4,-4,0.027981758,0.029991865,0.023982525,0.031961679,0.030977726,0.029979706,-7,14,-14,-11,-7,,75,395,334,241,187,3.0,4.0,97.0
64room_009,512,512,254117,0.97,302,16,165,0.55,31513,30823,17222,24783,26306,26366,2,45,21,17,16,11.116606,10.74987841,6.296384096,10.11917901,11.05769444,11.79723644,3,43,9,1,-6,,618,15667,13723,10084,7657,3.0,16.0,55.0
64room_009,512,512,254117,0.97,620,40,413,0.67,266206,264624,138003,138595,139467,139964,1,48,48,48,47,346.1031277,343.3227353,233.4015787,233.7553706,237.1193974,233.320652,1,33,32,31,33,,962,93787,52940,36239,28943,3.0,40.0,67.0
8room_000,512,512,206642,0.79,161,13,130,0.81,2935,2890,2628,2628,2628,2628,2,10,10,10,10,0.669650316,0.638632536,0.771567345,0.551698923,0.544702768,0.553687572,5,-15,18,19,17,,152,1556,862,679,503,21.0,13.0,81.0
8room_000,512,512,206642,0.79,76,6,59,0.78,1494,1479,1304,1304,1304,1304,1,13,13,13,13,0.276801825,0.291826487,0.236862659,0.2388587,0.229864597,0.238881826,-5,14,14,17,14,,107,1051,610,432,343,21.0,6.0,78.0
8room_000,512,512,206642,0.79,280,26,263,0.94,10850,8481,8368,8368,8368,8368,22,23,23,23,23,9.948312759,8.484127045,8.348225355,8.765005112,8.945890427,8.462174416,15,16,12,10,15,,351,8134,5007,3376,2500,21.0,26.0,94.0
8room_000,512,512,206642,0.79,352,28,285,0.81,24537,24422,22886,22886,22886,22886,0,7,7,7,7,13.0774982,12.62673521,11.44648433,11.20960736,11.27660108,11.06463432,3,12,14,14,15,,880,19107,15219,10780,8139,21.0,28.0,81.0
8room_000,512,512,206642,0.79,397,35,354,0.89,55791,45452,28148,28161,28169,28180,19,50,50,50,49,50.92185116,40.07915807,26.9246068,26.68875599,27.97502661,26.54284716,21,47,48,45,48,,728,24226,28306,20829,16034,21.0,35.0,89.0
Berlin_2_1024,1024,1024,795261,0.76,941,26,542,0.58,367835,366454,281873,281873,281873,281873,0,23,23,23,23,1000.990815,1146.500599,702.3919828,694.0755053,666.3075745,711.2643847,-15,30,31,33,29,,1446,184474,101204,67478,50561,24.0,26.0,58.0
Berlin_2_1024,1024,1024,795261,0.76,926,40,811,0.88,312029,221338,127472,127472,127472,127472,29,59,59,59,59,1075.866784,721.561893,382.8673925,354.7082064,353.8599496,353.1331105,33,64,67,67,67,,2486,160005,99635,72757,56410,24.0,40.0,88.0
Berlin_2_1024,1024,1024,795261,0.76,371,13,260,0.7,15055,14510,9312,10062,11381,12890,4,38,33,24,14,4.184603214,4.102615595,3.125190973,3.464084864,3.951793194,4.378477812,2,25,17,6,-5,,230,2854,1672,1322,1175,24.0,13.0,70.0
Berlin_2_1024,1024,1024,795261,0.76,848,31,643,0.76,158600,155261,93977,94401,95638,98029,2,41,40,40,38,199.4129291,193.0766606,138.9025829,140.5446887,142.1957114,144.9431407,3,30,30,29,27,,957,66590,34797,24593,19468,24.0,31.0,76.0
Berlin_2_1024,1024,1024,795261,0.76,70,3,69,0.99,252,200,195,195,195,195,21,23,23,23,23,0.060961246,0.04696846,0.054968596,0.043971062,0.04598999,0.067958832,23,10,28,25,-11,,22,31,29,26,26,24.0,3.0,99.0
lak400d,418,362,40385,0.27,307,16,128,0.42,9309,9235,5966,5966,5966,5966,1,36,36,36,36,2.371682405,2.138758659,1.563106298,1.356223822,1.526124477,1.693994522,10,34,43,36,29,,183,5450,3247,2188,1677,73.0,16.0,42.0
lak400d,418,362,40385,0.27,114,15,113,0.99,215,215,287,287,287,287,0,-33,-33,-33,-33,0.06696105,0.065959454,0.072933674,0.071959496,0.071957827,0.07096076,1,-9,-7,-7,-6,,186,2054,1228,909,768,73.0,15.0,99.0
lak400d,418,362,40385,0.27,186,24,185,0.99,276,276,321,321,321,321,0,-16,-16,-16,-16,0.089951754,0.088947058,0.095944643,0.108938456,0.107935905,0.094962358,1,-7,-21,-20,-6,,75,627,631,600,611,73.0,24.0,99.0
lak400d,418,362,40385,0.27,528,65,505,0.96,65147,48009,17762,17735,17735,17735,26,73,73,73,73,89.35691595,60.60633373,18.26055861,17.6219244,17.72588634,17.63495421,32,80,80,80,80,,2352,21930,14100,10191,8033,73.0,65.0,96.0
lak400d,418,362,40385,0.27,244,31,243,1.0,413,377,376,376,376,376,9,9,9,9,9,0.186892748,0.19388938,0.177898169,0.185912609,0.188890457,0.185881853,-4,5,1,-1,1,,46,70,43,31,27,73.0,31.0,100.0
lak405d,1005,782,47365,0.06,94,5,93,0.99,325,325,325,325,325,325,0,0,0,0,0,0.085948944,0.144917488,0.105938673,0.144916534,0.088948488,0.086951494,-69,-23,-69,-3,-1,,0,0,0,0,0,94.0,5.0,99.0
lak405d,1005,782,47365,0.06,862,43,773,0.9,14804,14662,12578,12578,12578,12578,1,15,15,15,15,10.3600769,10.62288857,9.269700766,9.483577013,9.09679842,9.355632544,-3,11,8,12,10,,1466,11725,7810,5227,3927,94.0,43.0,90.0
lak405d,1005,782,47365,0.06,967,41,740,0.77,29989,25695,19343,19343,19343,19343,14,35,35,35,35,15.8169415,12.45482826,10.13319135,10.29711294,10.29209423,10.04025841,21,36,35,35,37,,1847,19005,12456,8469,6444,94.0,41.0,77.0
lak405d,1005,782,47365,0.06,1245,45,806,0.65,66198,56629,41923,41866,41642,38150,14,37,37,37,42,24.19916296,20.53823781,15.27126861,15.9898386,16.84837365,13.47727609,15,37,34,30,44,,1671,27565,14638,10012,8114,94.0,45.0,65.0
lak405d,1005,782,47365,0.06,541,22,386,0.71,35591,13099,7997,8000,8323,8504,63,78,78,77,76,13.39935589,4.186610699,2.627473354,2.609505892,2.693474054,2.693459511,69,80,81,80,80,,889,7002,3846,2804,2220,94.0,22.0,71.0
London_1_1024,1024,1024,796301,0.76,225,10,202,0.9,2107,2107,2107,2107,2107,2107,0,0,0,0,0,0.871500254,0.962468386,0.871500731,0.871518373,0.906481743,0.861525297,-10,0,0,-4,1,,188,1879,932,625,465,24.0,10.0,90.0
