map,rows,cols,nodes,pct_nodes,goals,d_start_goal,h_start_goal,pct_start_goal,explored_0,explored_1,explored_2,explored_3,explored_4,explored_5,pct_explored_1,pct_explored_2,pct_explored_3,pct_explored_4,pct_explored_5,elapsed_0,elapsed_1,elapsed_2,elapsed_3,elapsed_4,elapsed_5,pct_elapsed_1,pct_elapsed_2,pct_elapsed_3,pct_elapsed_4,pct_elapsed_5,changed_0,changed_1,changed_2,changed_3,changed_4,changed_5
16room_001,512,512,231350,0.88,2,397,304,0.77,15526,15526,15526,15526,15526,15526,1.0,1.0,1.0,1.0,1.0,17.42910385131836,14.323838949203491,16.401493072509766,17.811869859695435,15.042412757873535,15.945934534072876,0.82,0.94,1.02,0.86,0.91,,600,15078,9235,6300,4754
16room_001,512,512,231350,0.88,4,402,321,0.8,35209,32820,26436,26436,26436,26436,0.93,0.75,0.75,0.75,0.75,25.712349891662598,24.803887844085693,19.225006818771362,19.37194514274597,19.481904983520508,19.633833169937134,0.96,0.75,0.75,0.76,0.76,,1139,31788,21415,14659,11234
16room_001,512,512,231350,0.88,6,242,239,0.99,1861,1856,1773,1842,1842,1842,1.0,0.95,0.99,0.99,0.99,0.7195703983306885,0.770573616027832,0.6925981044769287,0.7005994319915771,0.6896076202392578,0.6956212520599365,1.07,0.96,0.97,0.96,0.97,,25,129,94,78,66
16room_001,512,512,231350,0.88,8,671,624,0.93,117206,114663,54479,54494,54525,54525,0.98,0.46,0.46,0.47,0.47,311.6964452266693,304.0237805843353,176.47249484062195,176.72129106521606,173.66707038879395,177.83171796798706,0.98,0.57,0.57,0.56,0.57,,1161,54820,34552,23399,17793
16room_001,512,512,231350,0.88,10,657,522,0.79,136072,119078,66045,65945,66180,65721,0.88,0.49,0.48,0.49,0.48,120.31946015357971,109.44363760948181,71.5362663269043,72.3417489528656,72.50170135498047,71.94900631904602,0.91,0.59,0.6,0.6,0.6,,1132,50083,45602,33609,26830
32room_002,512,512,246420,0.94,2,406,361,0.89,48310,48267,29224,29224,29224,29224,1.0,0.6,0.6,0.6,0.6,74.17472767829895,75.4640121459961,49.07602071762085,49.218944787979126,48.83515930175781,49.713664054870605,1.02,0.66,0.66,0.66,0.67,,561,28491,25997,17435,13128
32room_002,512,512,246420,0.94,4,473,400,0.85,34681,34159,20266,20952,22009,22993,0.98,0.58,0.6,0.63,0.66,28.54071855545044,28.081965923309326,19.369978427886963,20.15851378440857,21.231898307800293,20.414366722106934,0.98,0.68,0.71,0.74,0.72,,703,20403,15016,11065,8723
32room_002,512,512,246420,0.94,6,382,337,0.88,26909,26679,21280,22812,22812,22812,0.99,0.79,0.85,0.85,0.85,24.35715627670288,24.382148504257202,22.251322746276855,22.7430477142334,23.13282060623169,22.520145177841187,1.0,0.91,0.93,0.95,0.92,,696,17524,9987,7000,5689
32room_002,512,512,246420,0.94,8,252,251,1.0,975,956,1004,986,987,988,0.98,1.03,1.01,1.01,1.01,0.384782075881958,0.3637886047363281,0.3627893924713135,0.4557368755340576,0.37178468704223633,0.3527960777282715,0.95,0.94,1.18,0.97,0.92,,61,453,309,217,153
32room_002,512,512,246420,0.94,10,474,415,0.88,31060,28298,28129,28171,28171,28171,0.91,0.91,0.91,0.91,0.91,25.17661428451538,23.337706327438354,24.477030277252197,24.212222576141357,23.754486083984375,24.271186113357544,0.93,0.97,0.96,0.94,0.96,,892,23854,15777,11080,8542
