order,event,state,phase
1,cnt_phi_search,"(0, 0)",search
2,cnt_phi_search,"(0, 0)",search
3,cnt_phi_search,"(0, 1)",search
4,cnt_phi_search,"(1, 0)",search
5,cnt_phi_search,"(0, 1)",search
6,cnt_phi_search,"(1, 1)",search
7,cnt_phi_search,"(1, 0)",search
8,cnt_phi_search,"(2, 0)",search
9,cnt_phi_search,"(2, 0)",search
10,cnt_phi_search,"(2, 1)",search
11,cnt_phi_search,"(3, 0)",search
12,cnt_phi_search,"(3, 0)",search
13,cnt_phi_search,"(3, 0)",search
14,cnt_phi_search,"(2, 1)",search
15,cnt_phi_search,"(1, 1)",search
16,cnt_phi_search,"(2, 1)",search
17,cnt_phi_search,"(2, 2)",search
18,cnt_phi_search,"(3, 1)",search
19,cnt_phi_search,"(2, 2)",search
20,cnt_phi_search,"(2, 3)",search
21,cnt_phi_search,"(3, 2)",search
22,cnt_phi_search,"(2, 3)",search
23,cnt_phi_search,"(1, 3)",search
24,cnt_phi_search,"(3, 3)",search
25,cnt_phi_search,"(3, 3)",search
26,cnt_phi_search,"(3, 3)",search
27,cnt_phi_search,"(3, 2)",search
28,cnt_phi_search,"(3, 1)",search
29,cnt_phi_search,"(3, 0)",search
30,cnt_phi_search,"(1, 3)",search
31,cnt_phi_search,"(0, 3)",search
32,cnt_phi_search,"(0, 3)",search
