order,event,state,phase
1,cnt_pop,"(0, 0)",search
2,cnt_pop,"(0, 1)",search
3,cnt_pop,"(1, 0)",search
4,cnt_pop,"(2, 0)",search
5,cnt_pop,"(3, 0)",search
6,cnt_pop,"(3, 0)",search
7,cnt_pop,"(2, 1)",search
8,cnt_pop,"(1, 1)",search
9,cnt_pop,"(2, 1)",search
10,cnt_pop,"(2, 2)",search
11,cnt_pop,"(2, 3)",search
12,cnt_pop,"(3, 3)",search
13,cnt_pop,"(3, 3)",search
14,cnt_pop,"(3, 2)",search
15,cnt_pop,"(3, 1)",search
16,cnt_pop,"(3, 0)",search
17,cnt_pop,"(1, 3)",search
18,cnt_pop,"(0, 3)",search
