order,event,state,phase
1,cnt_push,"(0, 0)",search
2,cnt_push,"(0, 1)",search
3,cnt_push,"(1, 0)",search
4,cnt_push,"(1, 1)",search
5,cnt_push,"(2, 0)",search
6,cnt_push,"(2, 1)",search
7,cnt_push,"(3, 0)",search
8,cnt_push,"(3, 0)",search
9,cnt_push,"(3, 0)",search
10,cnt_push,"(2, 1)",search
11,cnt_push,"(2, 2)",search
12,cnt_push,"(3, 1)",search
13,cnt_push,"(2, 3)",search
14,cnt_push,"(3, 2)",search
15,cnt_push,"(1, 3)",search
16,cnt_push,"(3, 3)",search
17,cnt_push,"(3, 3)",search
18,cnt_push,"(3, 3)",search
19,cnt_push,"(3, 2)",search
20,cnt_push,"(3, 1)",search
21,cnt_push,"(3, 0)",search
22,cnt_push,"(0, 3)",search
