,row,col,f,is_cached,is_bounded,g,h,goal
0,0,1,4,0,0,0,4,"CellMap(0,1)"
1,0,2,4,0,0,1,3,"CellMap(0,1)"
2,0,3,4,0,0,2,2,"CellMap(0,1)"
3,1,3,6,0,0,3,3,"CellMap(0,1)"
4,1,2,6,0,0,2,4,"CellMap(0,1)"
5,0,0,6,0,0,1,5,"CellMap(0,1)"
6,1,1,6,0,0,1,5,"CellMap(0,1)"
7,2,3,8,0,0,4,4,"CellMap(0,1)"
8,2,2,8,0,0,3,5,"CellMap(0,1)"
9,1,0,8,0,0,2,6,"CellMap(0,1)"
10,2,1,8,0,0,2,6,"CellMap(0,1)"
11,3,3,10,0,0,5,5,"CellMap(0,1)"
12,3,2,10,0,0,4,6,"CellMap(0,1)"
13,2,0,10,0,0,3,7,"CellMap(0,1)"
14,3,1,10,0,0,3,7,"CellMap(0,1)"
15,4,3,12,0,0,6,6,"CellMap(0,1)"
16,4,4,12,0,0,7,5,"CellMap(0,1)"
17,4,5,12,0,0,8,4,"CellMap(0,1)"
18,3,5,12,0,0,9,3,"CellMap(0,1)"
19,2,5,12,0,0,10,2,"CellMap(0,1)"
20,1,5,12,0,0,11,1,"CellMap(0,1)"
21,0,0,11,0,1,0,11,"CellMap(0,0)"
22,1,0,11,0,1,1,10,"CellMap(0,0)"
23,2,0,11,0,1,2,9,"CellMap(0,0)"
24,3,0,11,0,0,3,8,"CellMap(0,0)"
