surely_inc,surely_agg,border_inc,border_agg,surplus_inc,surplus_agg
11439,11439,1659,1303,0,0
0,0,675,283,0,0
0,0,309,463,0,0
23209,23209,173,166,0,0
0,0,482,479,0,0
0,0,16303,16079,0,0
0,0,1570,2137,0,0
236872,236872,349,259,0,0
14931,14931,202,201,0,0
9110,9110,427,423,0,0
24440,24440,130,137,0,0
0,0,1013,1021,0,0
107008,107008,194,141,0,0
93514,93514,57309,57318,0,0
0,0,494,488,0,0
62271,62271,497,386,0,0
0,0,2384,1819,0,0
292315,292315,293,330,0,0
18656,18656,166,146,0,0
30793,30793,177,181,0,0
0,0,30282,28451,0,0
41555,41555,277,267,0,0
0,0,1360,1061,0,0
8846,8846,278,275,0,0
94711,94711,1038,956,0,0
122695,122695,327,196,0,0
0,0,34947,31158,0,0
2546,2546,918,911,0,0
0,0,40570,42032,0,0
15697,15697,3258,1186,0,0
56031,56031,859,887,0,0
0,0,572,452,0,0
63425,63425,7729,7676,0,0
0,0,4443,4533,0,0
0,0,42033,40320,0,0
0,0,766,891,0,0
162059,162059,244,336,0,0
60144,60144,770,454,0,0
12648,12648,1753,1507,0,0
51369,51369,351,1067,0,0
85487,85487,279,364,0,0
0,0,1947,2380,0,0
38606,38606,932,576,0,0
60106,60106,7268,5028,0,0
0,0,10251,7749,0,0
0,0,79242,76076,0,0
89621,89621,616,359,0,0
1052,1052,12559,13205,0,0
0,0,6503,6304,0,0
98742,98742,295,267,0,0
14414,14414,1139,1141,0,0
43421,43421,252,247,0,0
7070,7070,2768,2009,0,0
217887,217887,77,72,0,0
772,772,6350,8190,0,0
0,0,1374,736,0,0
26533,26533,296,272,0,0
8389,8389,835,788,0,0
106164,106164,969,696,0,0
0,0,1647,1218,0,0
0,0,1239,1267,0,0
28257,28257,390,385,0,0
19050,19050,692,647,0,0
115147,115147,247,278,0,0
0,0,1240,1090,0,0
0,0,347,289,0,0
226052,226052,191,179,0,0
46780,46780,1202,1353,0,0
390265,390265,475,448,0,0
0,0,11316,11185,0,0
44034,44034,4378,3752,0,0
6989,6989,2031,2046,0,0
0,0,804,763,0,0
7174,7174,8623,8621,0,0
2308,2308,7029,6047,0,0
0,0,525,2052,0,0
279954,279954,418,506,0,0
0,0,1335,1290,0,0
226393,226393,277,263,0,0
121134,121134,2067,1919,0,0
169183,169183,278,235,0,0
132345,132345,1723,856,0,0
8796,8796,692,694,0,0
0,0,1106,1256,0,0
97745,97745,1748,381,0,0
22649,22649,306,374,0,0
91285,91285,404,451,0,0
62990,62990,1714,1569,0,0
14414,14414,481,492,0,0
155319,155319,760,464,0,0
25544,25544,9764,6993,0,0
113975,113975,309,268,0,0
0,0,20139,20508,0,0
108781,108781,553,554,0,0
13630,13630,696,509,0,0
76698,76698,234,230,0,0
62935,62935,254,223,0,0
3513,3513,466,451,0,0
205636,205636,701,560,0,0
0,0,68266,66813,0,0
38681,38681,701,685,0,0
24798,24798,136,137,0,0
8369,8369,328,174,0,0
7271,7271,373,361,0,0
0,0,5613,5487,0,0
0,0,5079,3381,0,0
115839,115839,4525,4515,0,0
78600,78600,755,435,0,0
13454,13454,191,193,0,0
0,0,34696,36118,0,0
20559,20559,10039,7492,0,0
15185,15185,151,119,0,0
0,0,2468,1965,0,0
64878,64878,299,205,0,0
0,0,793,643,0,0
44255,44255,225,198,0,0
189108,189108,236,192,0,0
72605,72605,281,255,0,0
0,0,4922,4438,0,0
76,76,545,372,0,0
0,0,471,615,0,0
0,0,1551,950,0,0
0,0,404,357,0,0
51391,51391,151,165,0,0
0,0,10401,10018,0,0
0,0,10631,10487,0,0
51635,51635,119,126,0,0
84344,84344,241,230,0,0
115390,115390,594,356,0,0
130366,130366,378,382,0,0
46647,46647,768,162,0,0
10362,10362,950,961,0,0
0,0,2435,2192,0,0
14008,14008,1002,736,0,0
23391,23391,303,259,0,0
42167,42167,562,395,0,0
5841,5841,3431,2861,0,0
97498,97498,272,419,0,0
0,0,1966,1309,0,0
88536,88536,340,307,0,0
9893,9893,1891,1671,0,0
0,0,698,793,0,0
13458,13458,1313,1334,0,0
13899,13899,332,253,0,0
23655,23655,257,308,0,0
0,0,13461,12737,0,0
0,0,4570,3826,0,0
177999,177999,213,168,0,0
8637,8637,484,400,0,0
0,0,5313,4419,0,0
0,0,30489,30206,0,0
0,0,2812,2529,0,0
3548,3548,384,303,0,0
40028,40028,5385,4635,0,0
3992,3992,3567,1914,0,0
13608,13608,1185,1059,0,0
0,0,5258,5163,0,0
0,0,1057,695,0,0
24383,24383,435,392,0,0
347048,347048,451,413,0,0
136844,136844,106,114,0,0
0,0,1946,1700,0,0
28228,28228,338,193,0,0
0,0,66499,63700,0,0
413948,413948,246,178,0,0
0,0,31250,29480,0,0
110596,110596,152,137,0,0
26649,26649,280,276,0,0
65406,65406,207,206,0,0
289665,289665,298,286,0,0
50519,50519,379,427,0,0
0,0,784,549,0,0
0,0,1099,1050,0,0
5225,5225,173,168,0,0
104637,104637,4023,3370,0,0
0,0,1159,620,0,0
0,0,550,688,0,0
66365,66365,287,270,0,0
60101,60101,186,186,0,0
0,0,1132,1135,0,0
29612,29612,325,272,0,0
3718,3718,361,330,0,0
0,0,679,939,0,0
160627,160627,161,152,0,0
0,0,7048,6679,0,0
26535,26535,521,422,0,0
2454,2454,12626,12227,0,0
14914,14914,358,285,0,0
6897,6897,173,166,0,0
0,0,459,468,0,0
0,0,702,660,0,0
14557,14557,641,563,0,0
126627,126627,351,334,0,0
13561,13561,624,548,0,0
28344,28344,9048,8607,0,0
0,0,10755,10529,0,0
0,0,7637,7488,0,0
41784,41784,1992,1936,0,0
28070,28070,3746,2896,0,0
0,0,1716,1729,0,0
