discovered_inc,discovered_agg
15749,14674
1604,811
810,937
23838,23838
1202,1195
18810,18300
4657,5482
238636,238366
15965,15968
10351,10296
25712,25735
2007,2029
108376,108284
152978,152973
1458,1197
64014,63807
5743,4335
294469,294588
19512,19473
31704,31700
32174,30295
43132,43093
2739,2400
9707,9709
97127,96878
124232,123941
36866,32782
5547,5529
43110,44838
23360,18820
58074,58124
1487,1201
73046,72952
6276,6372
46471,44747
1595,1840
163488,163503
62473,61914
16626,15956
52802,53938
86556,86494
2879,3392
41609,40811
69069,66726
14269,10129
81870,78487
91752,91499
15730,16558
8183,7998
100398,100376
16805,16780
44998,45015
14201,12677
219664,219657
9180,11107
3932,2091
27628,27613
10146,10180
109244,108368
3811,3157
3513,3601
29699,29644
20810,20715
116662,116693
1708,1553
817,758
228084,228078
49700,49880
392772,392750
14174,13683
49777,49069
11226,11341
2012,1746
17922,18035
11745,10279
1477,3889
282595,282718
2964,2988
228673,228650
125403,125162
170802,170781
135537,134730
10946,10950
3216,3411
101020,99553
23814,23860
93139,93097
68418,67277
15659,15695
157936,157488
36848,34161
115663,115637
22773,23294
111101,111052
15322,14787
78240,78224
63912,63869
4905,4888
208935,208709
71848,70204
40242,40209
25736,25737
9472,9106
8537,8538
6818,6580
5882,4122
122174,122117
81102,80536
14071,14078
36877,38491
31708,29105
16116,15979
4871,3630
66524,66238
2039,1586
45727,45671
190577,190426
74457,74334
5847,5312
1361,915
1352,1507
3915,2789
1045,968
53083,53094
11687,11299
13055,12605
52388,52386
85669,85652
117269,116688
132625,132618
48576,47798
13163,12960
3688,3104
16612,16322
24393,24333
44105,43793
11776,11029
98818,98963
4215,2564
90364,90307
14356,13612
1546,1773
17087,16824
15058,14977
24833,24817
16386,15448
6061,5168
180008,179943
9836,9674
6912,5609
33025,32831
5023,4684
4419,4316
46911,46206
10426,7594
15874,15622
6601,6504
2519,1659
25839,25877
350186,350126
137973,137983
4045,3767
29644,29435
71575,67737
416776,416701
35074,32850
111510,111505
28288,28276
66535,66545
291863,291849
52151,52212
1914,1263
2725,2634
5750,5744
110559,109784
2777,1725
1534,1587
67879,67845
61072,61071
2885,2513
30676,30597
4822,4804
1508,2642
161924,161911
8937,7781
28025,27982
16404,15949
15921,15822
7538,7511
1252,1261
1361,1292
16290,16238
128504,128495
15127,14897
39159,38492
12839,12102
8459,8258
45494,45522
36179,35962
2978,3016
1747,1508
8625,7254
31683,31562
39357,38824
35847,35983
30114,30114
