index,domain,name,rows,cols,k,dist_start_goals,nrm_dist_start_goals,dist_between_goals,dijkstra_explored,dijkstra_elapsed,incremental_explored,incremental_elapsed,aggregative_explored,aggregative_elapsed
0,Cities,Berlin_2_1024,1024,1024,20,1272.95,62.22,14.12,716174,49,35929,4,35749,6
1,Cities,Berlin_2_1024,1024,1024,20,1255.45,61.36,15.18,681784,43,382827,30,382813,48
2,Cities,Berlin_2_1024,1024,1024,40,1273.3,62.23,14.23,716174,46,35967,4,35788,8
3,Cities,Berlin_2_1024,1024,1024,40,1255.2,61.35,14.66,681784,44,382882,33,382857,63
4,Cities,Berlin_2_1024,1024,1024,60,1273.75,62.26,15.28,716181,46,36062,6,35878,12
5,Cities,Berlin_2_1024,1024,1024,60,1255.4,61.36,13.78,681784,44,382901,32,382899,78
6,Cities,Berlin_2_1024,1024,1024,80,1273.04,62.22,15.01,716181,47,36089,6,35914,15
7,Cities,Berlin_2_1024,1024,1024,80,1255.01,61.34,14.2,681784,44,383031,32,383011,97
8,Cities,Berlin_2_1024,1024,1024,100,1272.58,62.2,14.97,716181,46,36176,7,35933,21
9,Cities,Berlin_2_1024,1024,1024,100,1254.69,61.32,14.45,681784,43,383051,31,383051,114
10,Cities,Berlin_2_1024,1024,1024,20,390.3,19.08,12.68,164263,10,2405,0,475,0
11,Cities,Berlin_2_1024,1024,1024,20,405.6,19.82,15.05,211215,14,492,0,561,0
,Cities,Berlin_2_1024,1024,1024,40,391.1,19.12,14.41,164273,10,3112,2,1180,2
,Cities,Berlin_2_1024,1024,1024,40,405.68,19.83,13.79,211215,14,529,0,679,1
,Cities,Berlin_2_1024,1024,1024,60,390.17,19.07,14.48,164273,10,3128,3,1197,4
,Cities,Berlin_2_1024,1024,1024,60,407.57,19.92,14.81,211215,13,564,1,609,1
,Cities,Berlin_2_1024,1024,1024,80,388.59,18.99,14.51,164273,10,3144,5,2208,8
,Cities,Berlin_2_1024,1024,1024,80,408.02,19.94,14.91,211215,13,586,1,645,2
,Cities,Berlin_2_1024,1024,1024,100,388.28,18.98,14.67,164273,10,3163,6,2761,12
,Cities,Berlin_2_1024,1024,1024,100,406.82,19.88,14.75,211215,14,604,1,698,4
,Cities,Berlin_2_1024,1024,1024,20,674.65,32.97,13.9,258191,16,8754,1,7855,1
,Cities,Berlin_2_1024,1024,1024,20,666.25,32.56,15.57,576092,39,150000,12,149934,19
,Cities,Berlin_2_1024,1024,1024,40,675.3,33.01,12.74,258191,16,8793,3,7893,3
,Cities,Berlin_2_1024,1024,1024,40,665.52,32.53,15.06,576886,39,150579,12,150551,25
,Cities,Berlin_2_1024,1024,1024,60,674.45,32.96,13.62,258822,16,9472,4,8240,6
,Cities,Berlin_2_1024,1024,1024,60,666.62,32.58,14.03,576886,39,150600,13,150580,33
,Cities,Berlin_2_1024,1024,1024,80,672.58,32.87,14.6,258822,16,9822,5,8272,9
,Cities,Berlin_2_1024,1024,1024,80,666.61,32.58,14.66,576893,40,152369,13,152409,39
,Cities,Berlin_2_1024,1024,1024,100,673.17,32.9,14.8,258822,16,9840,6,8299,12
,Cities,Berlin_2_1024,1024,1024,100,666.88,32.59,14.78,576893,38,152378,13,152302,47
,Cities,Berlin_2_1024,1024,1024,20,750.8,36.7,12.73,369106,23,1070,0,1034,0
,Cities,Berlin_2_1024,1024,1024,20,759.65,37.13,11.53,481234,31,10433,1,9539,1
,Cities,Berlin_2_1024,1024,1024,40,750.75,36.69,13.03,371361,23,1139,0,1092,1
,Cities,Berlin_2_1024,1024,1024,40,759.92,37.14,14.11,486357,33,10661,2,10502,3
,Cities,Berlin_2_1024,1024,1024,60,750.45,36.68,13.16,371369,23,1159,1,1136,2
,Cities,Berlin_2_1024,1024,1024,60,759.6,37.13,14.29,486357,31,10880,3,10523,6
,Cities,Berlin_2_1024,1024,1024,80,750.83,36.7,13.12,371401,23,1218,1,1165,4
,Cities,Berlin_2_1024,1024,1024,80,760.36,37.16,15.01,486385,32,10918,3,10561,8
,Cities,Berlin_2_1024,1024,1024,100,751.04,36.71,13.3,371401,24,1226,2,1180,5
,Cities,Berlin_2_1024,1024,1024,100,759.89,37.14,14.79,486385,32,10939,4,10739,11
,Cities,Berlin_2_1024,1024,1024,20,1111.2,54.31,13.27,553075,35,17409,1,17375,2
,Cities,Berlin_2_1024,1024,1024,20,1108.6,54.18,13.11,748795,49,430454,33,430682,53
